accuracy,type,participant,roi,design,target
0.4375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.3125,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.75,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.65625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.6875,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.71875,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.25,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.6875,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.71875,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.3125,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.65625,permutation,sub-08,V2,compact,fb
0.3125,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.25,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.6875,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.65625,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.25,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.65625,permutation,sub-08,V2,compact,fb
0.25,permutation,sub-08,V2,compact,fb
0.65625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.3125,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.65625,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.6875,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.28125,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.65625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.65625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.3125,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.6875,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.25,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.65625,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.28125,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.65625,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.59375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.3125,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.25,permutation,sub-08,V2,compact,fb
0.25,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.28125,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.5625,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.25,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.5,permutation,sub-08,V2,compact,fb
0.40625,permutation,sub-08,V2,compact,fb
0.625,permutation,sub-08,V2,compact,fb
0.46875,permutation,sub-08,V2,compact,fb
0.34375,permutation,sub-08,V2,compact,fb
0.53125,permutation,sub-08,V2,compact,fb
0.4375,permutation,sub-08,V2,compact,fb
0.375,permutation,sub-08,V2,compact,fb
0.5,real,sub-08,V2,compact,fb
