accuracy,type,participant,roi,design,target
0.5,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.5703125,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.46875,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.546875,permutation,sub-23,VO1,expanded,fb
0.3984375,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.5546875,permutation,sub-23,VO1,expanded,fb
0.4921875,permutation,sub-23,VO1,expanded,fb
0.3984375,permutation,sub-23,VO1,expanded,fb
0.40625,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.453125,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.46875,permutation,sub-23,VO1,expanded,fb
0.5625,permutation,sub-23,VO1,expanded,fb
0.4140625,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.5390625,permutation,sub-23,VO1,expanded,fb
0.4921875,permutation,sub-23,VO1,expanded,fb
0.421875,permutation,sub-23,VO1,expanded,fb
0.5390625,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.4375,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.5390625,permutation,sub-23,VO1,expanded,fb
0.4921875,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.421875,permutation,sub-23,VO1,expanded,fb
0.5625,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.4453125,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.4375,permutation,sub-23,VO1,expanded,fb
0.4453125,permutation,sub-23,VO1,expanded,fb
0.390625,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.421875,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.453125,permutation,sub-23,VO1,expanded,fb
0.4375,permutation,sub-23,VO1,expanded,fb
0.5546875,permutation,sub-23,VO1,expanded,fb
0.4453125,permutation,sub-23,VO1,expanded,fb
0.578125,permutation,sub-23,VO1,expanded,fb
0.5703125,permutation,sub-23,VO1,expanded,fb
0.5390625,permutation,sub-23,VO1,expanded,fb
0.46875,permutation,sub-23,VO1,expanded,fb
0.4375,permutation,sub-23,VO1,expanded,fb
0.4296875,permutation,sub-23,VO1,expanded,fb
0.375,permutation,sub-23,VO1,expanded,fb
0.5625,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.4375,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.453125,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.5625,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.4921875,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.546875,permutation,sub-23,VO1,expanded,fb
0.5390625,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.4921875,permutation,sub-23,VO1,expanded,fb
0.4453125,permutation,sub-23,VO1,expanded,fb
0.46875,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.453125,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.5390625,permutation,sub-23,VO1,expanded,fb
0.4921875,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.46875,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.4453125,permutation,sub-23,VO1,expanded,fb
0.546875,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.546875,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.46875,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.4453125,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.546875,permutation,sub-23,VO1,expanded,fb
0.5390625,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.453125,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.4921875,permutation,sub-23,VO1,expanded,fb
0.4921875,permutation,sub-23,VO1,expanded,fb
0.546875,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.46875,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.453125,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.421875,permutation,sub-23,VO1,expanded,fb
0.5703125,permutation,sub-23,VO1,expanded,fb
0.5625,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.46875,permutation,sub-23,VO1,expanded,fb
0.453125,permutation,sub-23,VO1,expanded,fb
0.40625,permutation,sub-23,VO1,expanded,fb
0.4453125,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.46875,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.4921875,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.46875,permutation,sub-23,VO1,expanded,fb
0.453125,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.453125,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.5078125,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.609375,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.5234375,permutation,sub-23,VO1,expanded,fb
0.546875,permutation,sub-23,VO1,expanded,fb
0.4921875,permutation,sub-23,VO1,expanded,fb
0.484375,permutation,sub-23,VO1,expanded,fb
0.4921875,permutation,sub-23,VO1,expanded,fb
0.4609375,permutation,sub-23,VO1,expanded,fb
0.5703125,permutation,sub-23,VO1,expanded,fb
0.4375,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.546875,permutation,sub-23,VO1,expanded,fb
0.5859375,permutation,sub-23,VO1,expanded,fb
0.515625,permutation,sub-23,VO1,expanded,fb
0.46875,permutation,sub-23,VO1,expanded,fb
0.53125,permutation,sub-23,VO1,expanded,fb
0.546875,permutation,sub-23,VO1,expanded,fb
0.6015625,permutation,sub-23,VO1,expanded,fb
0.609375,permutation,sub-23,VO1,expanded,fb
0.5,permutation,sub-23,VO1,expanded,fb
0.4765625,permutation,sub-23,VO1,expanded,fb
0.5546875,permutation,sub-23,VO1,expanded,fb
0.5546875,permutation,sub-23,VO1,expanded,fb
