accuracy,type,participant,roi,design,target
0.484375,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.609375,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.65625,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.609375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.359375,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.625,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.625,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.609375,permutation,sub-17,VO2,expanded,lr
0.640625,permutation,sub-17,VO2,expanded,lr
0.375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.359375,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.625,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.625,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.609375,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.359375,permutation,sub-17,VO2,expanded,lr
0.609375,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.609375,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.640625,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.65625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.640625,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.6875,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.296875,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.625,permutation,sub-17,VO2,expanded,lr
0.671875,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.609375,permutation,sub-17,VO2,expanded,lr
0.6875,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.375,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.625,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.609375,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.3125,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.609375,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.359375,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.625,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.359375,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.375,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.3125,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.625,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.65625,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.28125,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.65625,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.640625,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.625,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.703125,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.359375,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.328125,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.546875,permutation,sub-17,VO2,expanded,lr
0.5625,permutation,sub-17,VO2,expanded,lr
0.59375,permutation,sub-17,VO2,expanded,lr
0.625,permutation,sub-17,VO2,expanded,lr
0.625,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.578125,permutation,sub-17,VO2,expanded,lr
0.53125,permutation,sub-17,VO2,expanded,lr
0.40625,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.484375,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.4375,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.5,permutation,sub-17,VO2,expanded,lr
0.515625,permutation,sub-17,VO2,expanded,lr
0.640625,permutation,sub-17,VO2,expanded,lr
0.46875,permutation,sub-17,VO2,expanded,lr
0.390625,permutation,sub-17,VO2,expanded,lr
0.421875,permutation,sub-17,VO2,expanded,lr
0.453125,permutation,sub-17,VO2,expanded,lr
0.453125,real,sub-17,VO2,expanded,lr
