accuracy,type,participant,roi,design,target
0.484375,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.671875,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.359375,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.625,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.625,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.40625,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.625,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.609375,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.609375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.375,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.625,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.359375,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.625,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.390625,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.390625,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.640625,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.609375,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.34375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.65625,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.625,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.609375,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.640625,permutation,sub-06,LO1,expanded,fb
0.359375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.65625,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.40625,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.640625,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.390625,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.609375,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.390625,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.6875,permutation,sub-06,LO1,expanded,fb
0.40625,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.390625,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.34375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.328125,permutation,sub-06,LO1,expanded,fb
0.65625,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.328125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.671875,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.390625,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.390625,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.390625,permutation,sub-06,LO1,expanded,fb
0.3125,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.375,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.375,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.40625,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.609375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.625,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.625,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.328125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.625,permutation,sub-06,LO1,expanded,fb
0.65625,permutation,sub-06,LO1,expanded,fb
0.6875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.390625,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.40625,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.609375,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.390625,permutation,sub-06,LO1,expanded,fb
0.640625,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.578125,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.34375,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.359375,permutation,sub-06,LO1,expanded,fb
0.6875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.359375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.40625,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.65625,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.609375,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.59375,permutation,sub-06,LO1,expanded,fb
0.3125,permutation,sub-06,LO1,expanded,fb
0.625,permutation,sub-06,LO1,expanded,fb
0.34375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.609375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.359375,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.375,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.609375,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.4375,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.546875,permutation,sub-06,LO1,expanded,fb
0.53125,permutation,sub-06,LO1,expanded,fb
0.484375,permutation,sub-06,LO1,expanded,fb
0.5625,permutation,sub-06,LO1,expanded,fb
0.46875,permutation,sub-06,LO1,expanded,fb
0.453125,permutation,sub-06,LO1,expanded,fb
0.5,permutation,sub-06,LO1,expanded,fb
0.421875,permutation,sub-06,LO1,expanded,fb
0.515625,permutation,sub-06,LO1,expanded,fb
0.609375,permutation,sub-06,LO1,expanded,fb
0.53125,real,sub-06,LO1,expanded,fb
